电视剧名,评分
请回答1988 응답하라 1988,9.7
武林外传,9.6
漫长的季节,9.4
琅琊榜,9.4
非自然死亡 アンナチュラル,9.5
神探夏洛克  第二季 Sherlock Season 2,9.6
老友记 第一季 Friends Season 1,9.7
后宫·甄嬛传,9.4
致命女人 第一季 Why Women Kill Season 1,9.4
西游记,9.7
权力的游戏 第一季 Game of Thrones Season 1,9.5
想见你 想見你,9.2
我们与恶的距离 我們與惡的距離,9.4
觉醒年代,9.3
黑镜 第一季 Black Mirror Season 1,9.4
红楼梦,9.7
生活大爆炸  第一季 The Big Bang Theory Season 1,9.5
大明王朝1566,9.8
父母爱情,9.4
胜者即是正义 リーガル・ハイ,9.4
沉默的真相,9.0
机智医生生活 슬기로운 의사생활,9.5
山海情,9.2
亮剑,9.5
潜伏,9.5
绝命毒师  第五季 Breaking Bad Season 5,9.7
越狱 第一季 Prison Break Season 1,9.4
机智牢房生活 슬기로운 감빵생활,9.4
士兵突击,9.5
黑暗荣耀 第二季 더 글로리2,9.0
信号 시그널,9.2
白夜追凶,8.9
半泽直树 半沢直樹,9.2
仙剑奇侠传,9.2
去他*的世界 第一季 The End of the F***ing World Season 1,9.1
我是大哥大 今日から俺は！！,9.2
伦敦生活 第二季 Fleabag Season 2,9.5
以你的心诠释我的爱 แปลรักฉันด้วยใจเธอ,9.3
隐秘的角落,8.8
性爱自修室 第一季 Sex Education Season 1,9.2
我们这一天 第一季 This Is Us Season 1,9.5
唐顿庄园  第一季 Downton Abbey Season 1,9.4
后翼弃兵 The Queen's Gambit,9.0
"我们的父辈 Unsere Mütter, unsere Väter",9.6
重启人生 ブラッシュアップライフ,9.4
怪奇物语 第一季 Stranger Things Season 1,9.0
羞耻 第三季 Skam Sesong 3,9.6
纸牌屋 第一季 House of Cards Season 1,9.3
最好的我们,8.9
我的天才女友 第一季 L'amica geniale Season 1,9.4
孤单又灿烂的神：鬼怪 쓸쓸하고 찬란하神 - 도깨비,8.9
我的团长我的团,9.6
破产姐妹 第一季 2 Broke Girls Season 1,9.1
大宅门,9.4
仙剑奇侠传三,9.0
三国演义,9.6
白色巨塔 白い巨塔,9.7
搞笑一家人 거침없이 하이킥!,9.6
战长沙,9.1
神雕侠侣 神雕俠侶,9.2
俗女养成记 俗女養成記,9.3
摩登家庭 第一季 Modern Family Season 1,9.5
真探 第一季 True Detective Season 1,9.3
秘密森林 비밀의 숲,9.2
四重奏 カルテット,9.1
东京爱情故事 東京ラブストーリー,9.3
我的大叔 나의 아저씨,9.4
西部世界 第一季 Westworld Season 1,8.9
我的恐怖妻子 僕のヤバイ妻,9.1
深夜食堂,9.2
兄弟连 Band of Brothers,9.6
新白娘子传奇 新白娘子傳奇,9.1
康熙王朝,9.2
毛骗 终结篇,9.7
山河令,8.5
小谢尔顿 第一季 Young Sheldon Season 1,9.3
家有儿女,9.0
傲慢与偏见 Pride and Prejudice,9.3
旺达幻视 WandaVision,9.0
三体,8.7
恶作剧之吻 惡作劇之吻,9.0
我可能不会爱你 我可能不會愛你,8.8
9号秘事 第一季 Inside No. 9 Season 1,9.1
走向共和,9.6
狂飙,8.5
天龙八部 天龍八部,9.1
大江大河,8.8
去有风的地方,8.7
伪装者,8.6
凪的新生活 凪のお暇,8.8
鹿鼎记 鹿鼎記,9.0
心里的声音 마음의 소리,9.2
莲花楼,8.5
大宋提刑官,9.3
疑犯追踪  第一季 Person of Interest Season 1,9.3
最后生还者 第一季 The Last of Us Season 1,9.0
金枝欲孽,9.0
我爱我家,9.4
